true label_012,normal_Dr_value,scc_Dr_value,others_Dr_value
1,0.227917109,0.500044098,0.272038794
0,0.547019384,0.219642303,0.233338313
1,0.211941558,0.576116885,0.211941558
2,0.211941558,0.211941558,0.576116885
2,0.554810529,0.215578308,0.229611163
2,0.212649028,0.212649028,0.574701943
2,0.212649028,0.212649028,0.574701943
1,0.218854611,0.512075452,0.269069938
1,0.206503501,0.561334713,0.232161786
1,0.216264679,0.451541714,0.332193607
2,0.211941558,0.211941558,0.576116885
1,0.20478251,0.418314777,0.376902713
2,0.246085058,0.300994786,0.452920155
1,0.235162744,0.432817608,0.332019648
2,0.207668147,0.227831302,0.564500551
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
2,0.211941558,0.576116885,0.211941558
2,0.203016109,0.248315727,0.548668164
1,0.210901236,0.422304721,0.366794043
2,0.216724528,0.244910347,0.538365125
1,0.437627943,0.208927409,0.353444648
1,0.211941558,0.576116885,0.211941558
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
1,0.236239063,0.508392373,0.255368564
2,0.211941558,0.211941558,0.576116885
1,0.231259365,0.386967375,0.38177326
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
0,0.576116885,0.211941558,0.211941558
1,0.217507142,0.540309215,0.242183643
2,0.211941558,0.211941558,0.576116885
2,0.369906332,0.2179558,0.412137868
2,0.221085718,0.40586277,0.373051512
2,0.253499463,0.26930667,0.477193867
2,0.211941558,0.211941558,0.576116885
2,0.240131383,0.452029452,0.307839164
1,0.233466151,0.533067698,0.233466151
1,0.230965419,0.441257959,0.327776622
1,0.211941558,0.576116885,0.211941558
1,0.216532177,0.551202412,0.232265411
1,0.211941558,0.576116885,0.211941558
2,0.217027282,0.416769254,0.366203464
1,0.215686944,0.420371226,0.36394183
1,0.226477828,0.401562274,0.371959898
1,0.218177214,0.41978715,0.362035636
0,0.576116885,0.211941558,0.211941558
2,0.254857351,0.324412782,0.420729867
1,0.236314166,0.495949879,0.267735956
1,0.250382307,0.467399616,0.282218077
1,0.217469536,0.421669124,0.36086134
1,0.24648114,0.483801237,0.269717623
2,0.211941558,0.211941558,0.576116885
0,0.576116885,0.211941558,0.211941558
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
0,0.576116885,0.211941558,0.211941558
2,0.211941558,0.211941558,0.576116885
0,0.576116885,0.211941558,0.211941558
1,0.219042485,0.561915031,0.219042485
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
1,0.240790593,0.470507461,0.288701946
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
1,0.244854107,0.478447612,0.276698281
2,0.576116885,0.211941558,0.211941558
1,0.211941558,0.576116885,0.211941558
1,0.251898504,0.471745372,0.276356124
1,0.234667812,0.530664377,0.234667812
2,0.211941558,0.211941558,0.576116885
1,0.223646431,0.552707139,0.223646431
1,0.235602825,0.466033783,0.298363392
1,0.211941558,0.576116885,0.211941558
1,0.23837877,0.492932923,0.268688307
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
2,0.260853564,0.273048036,0.4660984
0,0.576116885,0.211941558,0.211941558
2,0.251057806,0.251057806,0.497884389
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
2,0.217047934,0.394876801,0.388075265
0,0.576116885,0.211941558,0.211941558
2,0.211941558,0.211941558,0.576116885
2,0.252600211,0.220671001,0.526728787
2,0.551173649,0.212654537,0.236171814
1,0.219910346,0.540683373,0.239406281
2,0.253495214,0.452950352,0.293554434
2,0.243580114,0.468663981,0.287755904
1,0.242554182,0.489450982,0.267994837
2,0.209654335,0.220446096,0.569899569
1,0.218409055,0.563181891,0.218409055
1,0.270543366,0.276172155,0.453284479
1,0.2306938,0.526737654,0.242568547
0,0.576116885,0.211941558,0.211941558
1,0.22699183,0.54601634,0.22699183
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
2,0.229563653,0.23433984,0.536096507
0,0.399432618,0.222395983,0.378171399
2,0.229912557,0.240041925,0.530045518
1,0.227949241,0.544101519,0.227949241
0,0.576116885,0.211941558,0.211941558
1,0.216037426,0.567925148,0.216037426
2,0.209535286,0.220888755,0.569575959
2,0.211941558,0.211941558,0.576116885
