true label_012,normal_Dr_value,scc_Dr_value,others_Dr_value
1,0.228009652,0.545297399,0.226692949
0,0.485706639,0.228473919,0.285819442
1,0.227529686,0.546254559,0.226215755
2,0.237783046,0.274298199,0.487918755
2,0.54521866,0.22739067,0.22739067
2,0.229067042,0.229067042,0.541865916
2,0.227209804,0.546892477,0.22589772
1,0.227209804,0.546892477,0.22589772
1,0.284807343,0.363003583,0.352189074
1,0.227976385,0.545217839,0.226805777
2,0.231954451,0.228105902,0.539939646
1,0.227746126,0.451944647,0.320309228
2,0.229070232,0.270614504,0.500315264
1,0.226763009,0.547928519,0.225308472
2,0.227976385,0.226805777,0.545217839
2,0.228296362,0.227124111,0.544579527
1,0.226297749,0.54856649,0.225135761
2,0.226584441,0.225566086,0.547849474
2,0.248799997,0.37245799,0.378742013
1,0.223875934,0.479930017,0.296194049
2,0.508426529,0.216040278,0.275533193
1,0.373146121,0.243238431,0.383615449
1,0.226730125,0.547849063,0.225420812
2,0.229424818,0.225763472,0.54481171
1,0.226330529,0.548645949,0.225023522
1,0.226730125,0.547849063,0.225420812
2,0.226532351,0.222917166,0.550550482
1,0.24335504,0.423509311,0.333135649
2,0.226010941,0.224705781,0.549283278
1,0.226010941,0.549283278,0.224705781
0,0.55707498,0.220393684,0.222531336
1,0.225292167,0.550716675,0.223991158
2,0.224493217,0.219634867,0.555871916
2,0.554138485,0.222930757,0.222930757
2,0.24657785,0.422541558,0.330880592
2,0.233356924,0.301473585,0.465169491
2,0.225278407,0.21941249,0.555309104
2,0.234540913,0.44521472,0.320244367
1,0.225451859,0.550398214,0.224149927
1,0.225292167,0.550716675,0.223991158
1,0.225292167,0.550716675,0.223991158
1,0.225292167,0.550716675,0.223991158
1,0.225292167,0.550716675,0.223991158
2,0.27473086,0.227375478,0.497893662
1,0.242399445,0.456886545,0.30071401
1,0.242177916,0.422003539,0.335818546
1,0.239195302,0.437134307,0.323670391
0,0.513561076,0.217801175,0.268637749
2,0.224860666,0.551433277,0.223706057
1,0.223265918,0.554614584,0.222119498
1,0.244121741,0.462805407,0.293072852
1,0.224860666,0.551433277,0.223706057
1,0.224860666,0.551433277,0.223706057
2,0.227336654,0.226169331,0.546494014
0,0.55047759,0.224038038,0.225484372
2,0.225440821,0.220278283,0.554280896
2,0.235198389,0.488552089,0.276249523
0,0.553890665,0.221116982,0.224992352
2,0.226922928,0.225467366,0.547609706
0,0.262161586,0.218936312,0.518902102
1,0.225451859,0.550398214,0.224149927
2,0.226759536,0.222137847,0.551102617
2,0.227211178,0.222008098,0.550780724
1,0.232578359,0.27742382,0.48999782
2,0.233987291,0.295365636,0.470647073
2,0.225923383,0.220749794,0.553326822
1,0.225020259,0.55111491,0.223864831
2,0.496284661,0.224174862,0.279540477
1,0.223367537,0.550953252,0.225679211
1,0.223432391,0.55111322,0.22545439
1,0.223432391,0.55111322,0.22545439
2,0.222389754,0.221247832,0.556362414
1,0.223817828,0.551353881,0.224828291
1,0.234376374,0.330909394,0.434714232
1,0.224142761,0.552865402,0.222991838
1,0.224142761,0.552865402,0.222991838
2,0.230200666,0.457698228,0.312101106
2,0.222705809,0.220141087,0.557153104
2,0.227246115,0.491563392,0.281190493
0,0.553343402,0.223328299,0.223328299
2,0.249032791,0.408740334,0.342226876
2,0.225195482,0.218627158,0.55617736
1,0.230075632,0.467869447,0.302054921
2,0.233548416,0.467051531,0.299400054
0,0.562852211,0.216323535,0.220824254
2,0.225649058,0.21991496,0.554435983
2,0.230037938,0.269147188,0.500814874
2,0.488892544,0.224706238,0.286401217
1,0.223823832,0.553501622,0.222674546
2,0.223823832,0.553501622,0.222674546
2,0.223823832,0.553501622,0.222674546
1,0.223823832,0.553501622,0.222674546
2,0.225419334,0.224261856,0.55031881
1,0.223823832,0.553501622,0.222674546
1,0.234233773,0.464519868,0.301246359
1,0.223823832,0.553501622,0.222674546
0,0.557633508,0.221183246,0.221183246
1,0.223823832,0.553501622,0.222674546
2,0.223202702,0.288355355,0.488441943
1,0.223823832,0.553501622,0.222674546
2,0.223823832,0.553501622,0.222674546
0,0.555003437,0.22056543,0.224431133
2,0.225440821,0.220278283,0.554280896
1,0.223823832,0.553501622,0.222674546
0,0.495532794,0.227318986,0.27714822
1,0.223823832,0.553501622,0.222674546
2,0.242540854,0.473317938,0.284141208
2,0.223202702,0.288355355,0.488441943
