true label_012,normal_Dr_value,scc_Dr_value,others_Dr_value
1,0.229626546,0.499276251,0.271097203
0,0.259951036,0.315305964,0.424743
1,0.212806328,0.574387345,0.212806328
2,0.239632598,0.471570958,0.288796444
2,0.223781227,0.259311633,0.51690714
2,0.239363521,0.370286431,0.390350048
2,0.230853847,0.380613648,0.388532505
1,0.215510793,0.499729192,0.284760015
1,0.230687248,0.394802613,0.374510138
1,0.216040765,0.439046279,0.344912956
2,0.212649028,0.212649028,0.574701943
1,0.229775761,0.501210745,0.269013493
2,0.230638778,0.464808251,0.304552971
1,0.230559129,0.390290323,0.379150548
2,0.212649028,0.212649028,0.574701943
2,0.212649028,0.212649028,0.574701943
1,0.219818369,0.544997397,0.235184233
2,0.230006653,0.383881821,0.386111525
2,0.221097664,0.255214704,0.523687632
1,0.224886527,0.521469762,0.253643711
2,0.228495483,0.401506212,0.369998305
1,0.21552732,0.348999209,0.435473471
1,0.213661442,0.561679094,0.224659464
2,0.212649028,0.212649028,0.574701943
1,0.213661442,0.561679094,0.224659464
1,0.223207441,0.531755574,0.245036986
2,0.215783411,0.418938589,0.365278
1,0.233995397,0.344926838,0.421077765
2,0.234907604,0.374792945,0.390299451
1,0.229600515,0.388917771,0.381481714
0,0.292508116,0.305002495,0.402489389
1,0.215931361,0.545795853,0.238272787
2,0.212649028,0.212649028,0.574701943
2,0.256740779,0.296167176,0.447092045
2,0.233669882,0.373058158,0.393271959
2,0.257598462,0.294681072,0.447720466
2,0.212649028,0.212649028,0.574701943
2,0.224898833,0.350381518,0.42471965
1,0.21831537,0.557532673,0.224151956
1,0.25050088,0.333559153,0.415939967
1,0.212649028,0.574701943,0.212649028
1,0.221585528,0.521812331,0.256602141
1,0.215344349,0.535280967,0.249374683
2,0.208307019,0.416841786,0.374851195
1,0.23720729,0.371704005,0.391088705
1,0.247204968,0.351727306,0.401067726
1,0.231968723,0.293572252,0.474459026
0,0.304268936,0.239648491,0.456082573
2,0.214676295,0.235671499,0.549652207
1,0.232072037,0.393104254,0.374823709
1,0.232072037,0.393104254,0.374823709
1,0.212649028,0.574701943,0.212649028
1,0.237820125,0.387833103,0.374346772
2,0.226127993,0.269382783,0.504489224
0,0.320962006,0.224712857,0.454325137
2,0.212649028,0.212649028,0.574701943
2,0.225033704,0.283150884,0.491815412
0,0.306283307,0.231650839,0.462065855
2,0.212649028,0.212649028,0.574701943
0,0.212649028,0.212649028,0.574701943
1,0.237550194,0.337990334,0.424459471
2,0.212649028,0.212649028,0.574701943
2,0.212649028,0.212649028,0.574701943
1,0.224738169,0.283143196,0.492118635
2,0.222397433,0.250836327,0.52676624
2,0.212649028,0.212649028,0.574701943
1,0.229152121,0.303955968,0.466891911
2,0.228127886,0.282827052,0.489045062
1,0.224738039,0.494658311,0.28060365
1,0.231885576,0.447600773,0.320513651
1,0.228593689,0.501528498,0.269877813
2,0.212649028,0.212649028,0.574701943
1,0.229193399,0.467577399,0.303229202
1,0.236458443,0.390858842,0.372682716
1,0.233628341,0.465710528,0.300661131
1,0.227105515,0.480627713,0.292266772
2,0.243393659,0.31322832,0.443378021
2,0.212649028,0.212649028,0.574701943
2,0.234032673,0.374359364,0.391607964
0,0.243425333,0.281530672,0.475043996
2,0.235479461,0.331398817,0.433121722
2,0.217942469,0.252383378,0.529674153
1,0.213661442,0.224659464,0.561679094
2,0.217843659,0.242402302,0.539754039
0,0.214796827,0.220539346,0.564663827
2,0.214796827,0.220539346,0.564663827
2,0.214796827,0.220539346,0.564663827
2,0.240820384,0.216700725,0.542478891
1,0.229348593,0.429514807,0.3411366
2,0.217654766,0.258788685,0.523556549
2,0.233411474,0.337270489,0.429318037
1,0.232275442,0.490305254,0.277419304
2,0.227749298,0.260534968,0.511715734
1,0.212649028,0.574701943,0.212649028
1,0.218107003,0.241138603,0.540754394
1,0.231794366,0.414441449,0.353764185
0,0.229876975,0.246262698,0.523860327
1,0.23168582,0.478476671,0.289837509
2,0.212649028,0.212649028,0.574701943
1,0.221731793,0.522156769,0.256111438
2,0.2157796,0.249236354,0.534984045
0,0.226885945,0.296337858,0.476776197
2,0.216012934,0.234106436,0.54988063
1,0.212649028,0.574701943,0.212649028
0,0.218016755,0.252469403,0.529513842
1,0.237377462,0.391369271,0.371253267
2,0.227495819,0.494961824,0.277542357
2,0.212649028,0.212649028,0.574701943
