true label_012,normal_Dr_value,scc_Dr_value,others_Dr_value
1,0.241214957,0.386593767,0.372191276
0,0.231327305,0.300974449,0.467698246
1,0.221145862,0.534355781,0.244498358
2,0.242367036,0.482508696,0.275124268
2,0.229674656,0.480776501,0.289548843
2,0.20433838,0.449757762,0.345903858
2,0.213502187,0.530019334,0.256478479
1,0.220519096,0.520639391,0.258841513
1,0.215132315,0.429946142,0.354921543
1,0.241506295,0.463479284,0.295014421
2,0.23738857,0.432160668,0.330450762
1,0.245508102,0.508983795,0.245508102
2,0.203839282,0.460950502,0.335210216
1,0.217930595,0.515854115,0.26621529
2,0.26700088,0.328897504,0.404101616
2,0.213042333,0.213042333,0.573915334
1,0.212268646,0.556941459,0.230789895
2,0.210407316,0.433415336,0.356177349
2,0.225178622,0.496905444,0.277915934
1,0.215653009,0.521083375,0.263263617
2,0.221551131,0.414111818,0.36433705
1,0.235626472,0.386736391,0.377637136
1,0.180122549,0.435230959,0.384646491
2,0.213042333,0.213042333,0.573915334
1,0.225569334,0.533248711,0.241181955
1,0.209126924,0.548698343,0.242174734
2,0.232989204,0.522815655,0.244195141
1,0.221659935,0.52165176,0.256688305
2,0.250239371,0.300030797,0.449729832
1,0.2199963,0.490809481,0.289194219
0,0.238666022,0.380544509,0.380789468
1,0.221701099,0.535697404,0.242601497
2,0.235313629,0.265404171,0.4992822
2,0.216120712,0.298915651,0.484963637
2,0.211475219,0.394008682,0.394516099
2,0.244451947,0.483537773,0.27201028
2,0.213042333,0.213042333,0.573915334
2,0.227065567,0.528899621,0.244034812
1,0.227065567,0.528899621,0.244034812
1,0.207472315,0.46257084,0.329956845
1,0.220789664,0.549876889,0.229333446
1,0.226963113,0.530364685,0.242672203
1,0.216408493,0.526284626,0.257306882
2,0.21242466,0.461280197,0.326295142
3,0.222257108,0.517699368,0.260043523
1,0.231464453,0.391067169,0.377468378
1,0.229205235,0.40744559,0.363349175
0,0.209457833,0.468804224,0.321737943
2,0.218480892,0.508903498,0.27261561
1,0.207277269,0.460947963,0.331774768
1,0.221674131,0.423507013,0.354818856
1,0.219773415,0.51621453,0.264012055
1,0.205650524,0.405479948,0.388869527
2,0.228717141,0.271417226,0.499865633
0,0.213042333,0.213042333,0.573915334
2,0.213042333,0.213042333,0.573915334
2,0.219800649,0.389723131,0.390476219
0,0.238140221,0.380684761,0.381175018
2,0.216037426,0.216037426,0.567925148
0,0.198168041,0.399884023,0.401947936
1,0.231689274,0.391447012,0.376863715
2,0.213042333,0.213042333,0.573915334
2,0.213042333,0.213042333,0.573915334
1,0.220473556,0.531019975,0.248506469
2,0.221747971,0.266041458,0.51221057
2,0.213042333,0.213042333,0.573915334
1,0.204153835,0.434564144,0.361282021
2,0.219321383,0.510861237,0.269817381
1,0.222776671,0.518909576,0.258313753
1,0.209057937,0.400433245,0.390508818
1,0.216037426,0.567925148,0.216037426
2,0.213042333,0.213042333,0.573915334
1,0.225982824,0.502545807,0.271471369
1,0.216306142,0.400166752,0.383527106
1,0.212896383,0.51277003,0.274333587
1,0.216393149,0.552979443,0.230627407
2,0.231171155,0.286784505,0.48204434
2,0.213042333,0.213042333,0.573915334
2,0.222387353,0.513026772,0.264585875
0,0.233106003,0.301925578,0.464968419
2,0.23214924,0.324616432,0.443234328
2,0.232868843,0.383195341,0.383935815
1,0.233457663,0.463576968,0.302965369
2,0.22030427,0.285344407,0.494351323
0,0.22478411,0.255657986,0.519557905
2,0.217870929,0.240567789,0.541561281
2,0.229450805,0.42013633,0.350412865
2,0.220257846,0.262389768,0.517352386
1,0.220106223,0.5163313,0.263562476
2,0.226516683,0.290385644,0.483097673
2,0.224555687,0.493621246,0.281823067
1,0.216037426,0.567925148,0.216037426
2,0.217091998,0.385912551,0.396995451
1,0.230557976,0.487620337,0.281821687
1,0.21800415,0.280373558,0.501622292
1,0.217127585,0.244892601,0.537979814
0,0.250253436,0.250253436,0.499493128
1,0.229223487,0.398403179,0.372373334
2,0.227129827,0.394764282,0.37810589
1,0.224000572,0.487357228,0.2886422
2,0.223895225,0.35976037,0.416344406
0,0.24001807,0.290379998,0.469601932
2,0.22706648,0.424147794,0.348785726
1,0.228704193,0.499194457,0.27210135
0,0.220150416,0.261083085,0.518766499
1,0.22920322,0.479789648,0.291007132
2,0.229098516,0.501989596,0.268911888
2,0.224920604,0.27036926,0.504710136
