true label_012,normal_Dr_value,scc_Dr_value,others_Dr_value
1,0.277009813,0.480839235,0.242150951
0,0.501214231,0.272675381,0.226110388
1,0.240561934,0.513713048,0.245725018
2,0.238113558,0.241819532,0.52006691
2,0.238166473,0.236943542,0.524889985
2,0.218963284,0.218963284,0.562073433
2,0.307235719,0.311616193,0.381148088
1,0.221102132,0.224687882,0.554209986
1,0.244584938,0.470900255,0.284514806
1,0.404352194,0.344486398,0.251161408
2,0.216037426,0.216037426,0.567925148
1,0.218513613,0.490333183,0.291153204
2,0.505658042,0.256788928,0.237553029
1,0.222748096,0.236942521,0.540309383
2,0.218963284,0.218963284,0.562073433
2,0.211941558,0.211941558,0.576116885
1,0.267682344,0.427084746,0.30523291
2,0.22899187,0.261114924,0.509893205
2,0.449111832,0.260569698,0.290318469
1,0.386262858,0.343131583,0.270605559
2,0.534175541,0.235310212,0.230514248
1,0.249355707,0.263713945,0.486930347
1,0.281686229,0.472865884,0.245447887
2,0.233305986,0.233305986,0.533388027
1,0.346330455,0.346999692,0.306669853
1,0.308811278,0.360152299,0.331036423
2,0.216037426,0.216037426,0.567925148
1,0.230687727,0.274461264,0.494851009
2,0.241250051,0.247859234,0.510890715
1,0.441501752,0.313310949,0.245187298
0,0.227776623,0.221845656,0.550377721
1,0.279357424,0.320602228,0.400040348
2,0.249231579,0.27307858,0.47768984
2,0.56025002,0.220511692,0.219238288
2,0.282996815,0.307293626,0.409709559
2,0.266822341,0.412233313,0.320944346
2,0.213661442,0.224659464,0.561679094
2,0.242677379,0.421244301,0.33607832
1,0.275639275,0.435835769,0.288524956
1,0.247899858,0.26488756,0.487212582
1,0.352626993,0.387113687,0.26025932
1,0.347394626,0.355307605,0.29729777
1,0.328141015,0.378288481,0.293570504
2,0.491352124,0.282520319,0.226127557
1,0.405993921,0.359963834,0.234042245
1,0.257004681,0.344650408,0.39834491
1,0.232148998,0.240512469,0.527338533
0,0.53544808,0.245787699,0.218764221
2,0.246856776,0.293509494,0.459633731
1,0.359023941,0.404673348,0.236302711
1,0.503796248,0.262852428,0.233351324
1,0.47167082,0.28941578,0.238913401
1,0.31367092,0.437199994,0.249129086
2,0.220231248,0.220231248,0.559537503
0,0.410923495,0.251817109,0.337259396
2,0.216037426,0.216037426,0.567925148
2,0.253438527,0.263924173,0.4826373
0,0.270301772,0.230282623,0.499415605
2,0.230531011,0.216720678,0.552748311
0,0.223452706,0.219321407,0.557225887
1,0.289311412,0.437305079,0.273383509
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
1,0.255164234,0.260473053,0.484362713
2,0.230985211,0.230985211,0.538029577
2,0.211941558,0.211941558,0.576116885
1,0.502941911,0.268556562,0.228501526
2,0.268566317,0.269431822,0.462001861
1,0.342594913,0.374410139,0.282994948
1,0.242064597,0.277267642,0.480667761
1,0.32035006,0.407255224,0.272394715
2,0.233466151,0.233466151,0.533067698
1,0.345908376,0.402379866,0.251711758
1,0.31578964,0.260182317,0.424028043
1,0.316325086,0.404474092,0.279200822
1,0.312541875,0.360305435,0.32715269
2,0.247615503,0.229361779,0.523022718
2,0.211941558,0.211941558,0.576116885
2,0.234490264,0.241690649,0.523819087
0,0.543245967,0.237923899,0.218830134
2,0.281640305,0.264938621,0.453421074
2,0.308119396,0.275480886,0.416399718
1,0.349762347,0.385702371,0.264535282
2,0.314302137,0.283551749,0.402146114
0,0.267146118,0.240854295,0.491999587
2,0.241730071,0.241730071,0.516539858
2,0.48902496,0.26247305,0.24850199
2,0.495580198,0.265991425,0.238428377
1,0.352891209,0.389653904,0.257454886
2,0.365994241,0.39741683,0.23658893
2,0.22110388,0.22110388,0.55779224
1,0.298992984,0.335063385,0.365943632
2,0.236797379,0.248666063,0.514536559
1,0.288274349,0.418964631,0.29276102
1,0.219232389,0.232304117,0.548463494
1,0.33904305,0.392368613,0.268588336
0,0.48259506,0.268353551,0.249051389
1,0.373571135,0.378166643,0.248262222
2,0.237360933,0.246545964,0.516093103
1,0.298140377,0.460915337,0.240944286
2,0.272154626,0.272154626,0.455690749
0,0.491364747,0.243032946,0.265602307
2,0.249368624,0.249368624,0.501262752
1,0.247086021,0.311699715,0.441214265
0,0.45348701,0.255433998,0.291078992
1,0.284049007,0.394133077,0.321817916
2,0.241689211,0.229414198,0.528896591
2,0.22110388,0.22110388,0.55779224
