true label_012,normal_Dr_value,scc_Dr_value,others_Dr_value
1,0.217577344,0.414344824,0.368077832
0,0.576116885,0.211941558,0.211941558
1,0.208425966,0.566560517,0.225013517
2,0.211941558,0.211941558,0.576116885
2,0.576116885,0.211941558,0.211941558
2,0.186213184,0.307606901,0.506179915
2,0.211941558,0.211941558,0.576116885
1,0.177075589,0.341583055,0.481341356
1,0.211941558,0.576116885,0.211941558
1,0.186213184,0.307606901,0.506179915
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
2,0.204470214,0.346349831,0.449179955
1,0.208041532,0.44226997,0.349688498
2,0.2180992,0.412940139,0.368960661
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
2,0.210761079,0.429697029,0.359541892
2,0.208274936,0.22557509,0.566149974
1,0.194743065,0.426437093,0.378819842
2,0.207026428,0.230217396,0.562756177
1,0.576116885,0.211941558,0.211941558
1,0.211941558,0.576116885,0.211941558
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
1,0.206652719,0.42787835,0.36546893
2,0.211941558,0.211941558,0.576116885
1,0.223184194,0.408136229,0.368679577
2,0.211941558,0.211941558,0.576116885
1,0.196277839,0.472743559,0.330978602
0,0.576116885,0.211941558,0.211941558
1,0.198839788,0.417840241,0.383319971
2,0.211637374,0.356879016,0.431483609
2,0.537412503,0.219991095,0.242596402
2,0.205177377,0.335894242,0.458928381
2,0.230967946,0.252416885,0.516615169
2,0.211941558,0.211941558,0.576116885
2,0.186282105,0.340434357,0.473283537
1,0.209802906,0.570303427,0.219893666
1,0.208328035,0.409966974,0.381704991
1,0.203087679,0.417799656,0.379112664
1,0.216473957,0.417314822,0.366211221
1,0.220378361,0.457473574,0.322148065
2,0.221599075,0.360451088,0.417949837
1,0.212145485,0.412671532,0.375182982
1,0.212645514,0.357427142,0.429927344
1,0.210983772,0.374090143,0.414926085
0,0.576116885,0.211941558,0.211941558
2,0.222002449,0.364375128,0.413622423
1,0.227337254,0.410414739,0.362248008
1,0.224355117,0.40503105,0.370613834
1,0.222046498,0.533090492,0.24486301
1,0.237171816,0.501285646,0.261542538
2,0.234587678,0.234587678,0.530824644
0,0.576116885,0.211941558,0.211941558
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
0,0.576116885,0.211941558,0.211941558
2,0.576116885,0.211941558,0.211941558
0,0.576116885,0.211941558,0.211941558
1,0.222656,0.526700377,0.250643623
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
1,0.222920523,0.364941403,0.412138074
2,0.221341996,0.221341996,0.557316009
2,0.211941558,0.211941558,0.576116885
1,0.21920489,0.500505299,0.280289811
2,0.576116885,0.211941558,0.211941558
1,0.216797767,0.552589221,0.230613012
1,0.22485694,0.404893458,0.370249602
1,0.215357707,0.547155386,0.237486908
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
1,0.224062651,0.405806643,0.370130707
1,0.223885086,0.552229828,0.223885086
1,0.214840767,0.542689896,0.242469337
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
0,0.554505898,0.210932774,0.234561328
2,0.211941558,0.211941558,0.576116885
2,0.211941558,0.211941558,0.576116885
1,0.217682386,0.549867853,0.232449761
2,0.206672034,0.278942163,0.514385803
0,0.576116885,0.211941558,0.211941558
2,0.202949707,0.245375794,0.5516745
2,0.418200454,0.219037452,0.362762094
2,0.576116885,0.211941558,0.211941558
1,0.213383,0.560947119,0.225669881
2,0.225340872,0.366537461,0.408121668
2,0.223849111,0.405419895,0.370730994
1,0.206240585,0.453069106,0.340690309
2,0.229164902,0.361885295,0.408949803
1,0.219464579,0.505633036,0.274902385
1,0.211941558,0.211941558,0.576116885
1,0.216596701,0.520006588,0.263396711
0,0.576116885,0.211941558,0.211941558
1,0.214544556,0.548255475,0.237199969
2,0.211941558,0.211941558,0.576116885
1,0.211941558,0.576116885,0.211941558
2,0.210364992,0.252060152,0.537574856
0,0.24920844,0.210679072,0.540112488
2,0.211941558,0.211941558,0.576116885
1,0.220167152,0.53199092,0.247841928
0,0.576116885,0.211941558,0.211941558
1,0.218334709,0.540274937,0.241390354
2,0.194825021,0.321832855,0.483342124
2,0.211941558,0.211941558,0.576116885
